GER_fascist_dictatorship_ruler;Фюрер
GCF_fascist_dictatorship_ruler;Фюрер
PRU_fascist_dictatorship_ruler;Фюрер
SGF_fascist_dictatorship_ruler;Фюрер
NGF_fascist_dictatorship_ruler;Фюрер
USA_democracy_ruler;Господин Президент
PAP_proletarian_dictatorship_ruler;Кардинал
PAP_presidential_dictatorship_ruler;Папа
PAP_burgeois_dictatorship_ruler;Папа
PAP_fascist_dictatorship_ruler;Папа
PAP_absolute_monarchy_ruler;Папа
PAP_hms_government_ruler;Папа
PAP_prussian_constitutionalism_ruler;Папа
ALD_absolute_monarchy_ruler;Султан
ALD_hms_government_ruler;Султан
ALD_prussian_constitutionalism_ruler;Султан
ARA_absolute_monarchy_ruler;Султан
ARA_hms_government_ruler;Султан
ARA_prussian_constitutionalism_ruler;Султан
HDJ_absolute_monarchy_ruler;Султан
HDJ_hms_government_ruler;Султан
HDJ_prussian_constitutionalism_ruler;Султан
NEJ_absolute_monarchy_ruler;Султан
NEJ_hms_government_ruler;Султан
NEJ_prussian_constitutionalism_ruler;Султан
RUS_absolute_monarchy_ruler;Царь
RUS_hms_government_ruler;Царь
RUS_prussian_constitutionalism_ruler;Царь
